,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
108,108,1672974000,1.1924,1.19354,1.19121,1.19284,11138,8,0,0.0003689356249190476,0.0520192702758503,-0.027532858060278685,-1.8893523571712978,3
109,109,1672984800,1.19283,1.19339,1.18987,1.19067,8965,1,0,-0.0018208445524023848,0.0496052417007908,-0.10246136970585207,-0.4841360392038328,1
110,110,1672995600,1.19066,1.19262,1.18535,1.18582,18999,1,0,-0.00408165549476658,0.0507519145402665,-0.12182641320850625,-0.41659204439848735,1
111,111,1673006400,1.18583,1.18682,1.18414,1.18591,13661,1,0,7.589396773075099e-05,0.05072772890264607,-0.10718404411021393,-0.473276869927434,1
112,112,1673017200,1.18591,1.20536,1.18476,1.20463,42737,1,0,0.015662053482735888,0.07514537775178474,0.056415246130563104,1.3320047842718628,4
113,113,1673028000,1.20463,1.20873,1.20347,1.20819,16509,3,0,0.0029509060628870173,0.07572196917958414,0.09282701134823312,0.815732059879847,3
114,114,1673038800,1.2082,1.20991,1.20816,1.20945,7357,5,0,0.001042338904120786,0.0757249822784053,0.10793778936534118,0.7015613597763805,3
115,115,1673222400,1.2077,1.2128,1.2076,1.21085,7472,7,0,0.0011568815073699317,0.07289742819231798,0.04806242615752589,1.516723853127903,3
116,116,1673233200,1.21084,1.21364,1.20987,1.21221,11978,6,0,0.0011225476404322192,0.072841451025588,0.07298114813423383,0.9980858466574288,3
117,117,1673244000,1.21222,1.21646,1.21215,1.21475,8655,2,0,0.0020931543390695245,0.07306790178394271,0.1017846415875938,0.7178676531572983,3
118,118,1673254800,1.21474,1.2174,1.21257,1.21587,21460,2,0,0.0009215756303067516,0.07293961137135455,0.09223841354378652,0.7907726138061705,3
119,119,1673265600,1.21587,1.21596,1.2112,1.21385,14862,3,0,-0.0016627434152031717,0.07312531371296567,0.08462441598294054,0.864116022114788,0
120,120,1673276400,1.21389,1.221,1.21359,1.2191,25657,3,0,0.004315755069984614,0.07430428679153549,0.11671704279310609,0.6366189976492814,3
121,121,1673287200,1.21909,1.22085,1.2174,1.21867,15069,3,0,-0.0003527814391511832,0.07328127011248713,0.1490173135483253,0.49176346269806104,0
122,122,1673298000,1.21868,1.22044,1.21776,1.21836,11241,4,0,-0.00025440803081772177,0.0731067131974226,0.15863280018543519,0.46085496260523595,0
123,123,1673308800,1.21842,1.21982,1.21632,1.21738,5188,4,0,-0.0008046836303387834,0.07327571237212291,0.14219186209291196,0.5153298599060655,0
124,124,1673319600,1.21738,1.21859,1.21567,1.21678,12251,6,0,-0.0004929832156896433,0.0726088263310798,0.16483775673464018,0.4404866201131774,0
