,time,open,high,low,close,tick_volume,spread,real_volume
177,1674064800,128.364,128.949,128.218,128.772,13842,1,0
178,1674075600,128.771,128.931,128.665,128.906,7040,2,0
179,1674086400,128.876,128.888,128.28,128.42,10154,3,0
180,1674097200,128.422,128.694,128.152,128.289,9921,2,0
181,1674108000,128.29,128.293,127.761,127.954,9984,1,0
182,1674118800,127.954,128.396,127.897,128.324,14954,0,0
183,1674129600,128.324,128.718,128.305,128.633,12350,0,0
184,1674140400,128.633,128.813,128.232,128.459,21219,0,0
185,1674151200,128.46,128.629,128.387,128.436,8688,0,0
186,1674162000,128.44,128.534,128.298,128.419,5347,2,0
187,1674172800,128.391,128.685,128.348,128.63,9107,3,0
188,1674183600,128.621,128.889,128.527,128.817,7959,2,0
189,1674194400,128.818,129.293,128.817,129.166,8512,1,0
190,1674205200,129.163,129.492,128.725,129.462,14158,0,0
191,1674216000,129.462,130.284,129.172,130.111,15189,0,0
192,1674226800,130.11,130.612,129.683,129.924,18233,0,0
193,1674237600,129.923,129.988,129.479,129.607,10221,1,0
194,1674248400,129.607,129.616,129.443,129.585,4391,0,0
195,1674432000,129.456,129.629,129.246,129.275,7639,3,0
196,1674442800,129.276,129.323,129.041,129.309,7822,3,0
197,1674453600,129.311,130.171,129.311,130.084,10155,1,0
198,1674464400,130.085,130.314,129.613,129.835,14444,0,0
199,1674475200,129.831,130.453,129.714,130.237,10288,0,0
200,1674486000,130.24,130.888,130.218,130.608,19119,0,0
201,1674496800,130.607,130.749,130.44,130.653,8446,1,0
202,1674507600,130.652,130.712,130.589,130.664,4351,3,0
203,1674518400,130.627,130.729,130.258,130.387,5251,3,0
204,1674529200,130.386,130.447,130.14,130.38,5739,2,0
205,1674540000,130.378,130.442,130.044,130.052,5889,0,0
206,1674550800,130.049,130.389,129.727,130.112,13697,0,0
207,1674561600,130.109,130.334,130.05,130.265,7350,1,0
208,1674572400,130.265,131.117,130.041,130.091,21193,1,0
209,1674583200,130.09,130.241,129.863,130.085,9880,1,0
210,1674594000,130.085,130.203,130.018,130.159,4081,0,0
211,1674604800,130.158,130.46,130.028,130.333,8076,3,0
212,1674615600,130.334,130.573,130.104,130.509,7262,3,0
213,1674626400,130.509,130.583,130.301,130.39,6348,1,0
214,1674637200,130.395,130.49,129.802,129.851,12537,0,0
215,1674648000,129.851,130.1,129.557,129.7,10647,1,0
216,1674658800,129.7,130.033,129.269,129.589,19138,0,0
217,1674669600,129.587,129.943,129.416,129.531,9493,1,0
218,1674680400,129.53,129.673,129.498,129.579,5116,0,0
219,1674691200,129.558,129.608,129.106,129.214,6858,3,0
220,1674702000,129.223,129.586,129.099,129.312,6947,3,0
221,1674712800,129.31,129.431,129.022,129.337,6413,0,0
222,1674723600,129.337,129.994,129.337,129.956,14703,0,0
223,1674734400,129.953,130.01,129.628,129.753,9366,1,0
224,1674745200,129.757,130.55,129.671,130.445,25857,0,0
225,1674756000,130.446,130.618,130.051,130.149,10273,0,0
226,1674766800,130.149,130.294,130.138,130.218,3404,1,0
227,1674777600,130.209,130.229,129.495,129.635,18920,0,0
228,1674788400,129.645,129.923,129.606,129.855,7154,3,0
229,1674799200,129.861,130.263,129.822,130.184,6557,1,0
230,1674810000,130.189,130.272,129.714,129.852,9948,0,0
231,1674820800,129.853,129.997,129.658,129.867,8168,1,0
232,1674831600,129.867,130.066,129.56,129.983,18885,1,0
233,1674842400,129.982,129.992,129.793,129.918,6777,1,0
234,1674853200,129.918,129.938,129.813,129.833,2580,1,0
235,1675036800,129.617,130.137,129.601,130.08,8576,3,0
236,1675047600,130.084,130.288,129.91,129.911,6986,0,0
237,1675058400,129.908,129.918,129.2,129.588,17112,1,0
